filterID,netmass
GN011,0.0726
GN012,0.2171
GN013,0.0463
GN014,0.0436
GN015,0.0705
GN016,0.2694
GN017,0.0812
GN018,0.0437
GN019,0.3129
GN020,0.2078
GN021,0.0518
GN022,0.1259
GN023,0.0434
GN024,0.054
GN025,0.3182
GN026,0.0524
GN027,0.0771
GN028,0.3896
GN029,0.0511
GN030,0.2871
GN031,0.3593
GN032,0.2018
GN033,0.2504
GN034,-0.071
GN035,0.0455
GN036,0.207
GN037,0.0483
GN038,0.0635
GN039,0.0534
GN040,0.0528
GN041,0.0531
GN042,0.1152
GN043,0.0882
GN044,0.3721
GN045,0.0623
GN046,0.2759
GN047,0.0476
GN048,0.0578
GN049,0.0487
GN050,0.041
GN051,0.0493
GN052,0.1721
GN053,0.1864
GN054,0.1532
GN055,0.2602
GN056,0.0466
GN057,0.1455
GN058,0.0331
GN059,0.2
GN060,0.2006
GN061,0.0759
GN062,0.1222
GN063,0.0737
GN064,0.0747
GN065,0.5627
GN066,0.1046
GN067,0.2608
GN068,0.2032
GN069,0.145
GN070,0.0952
GN071,0.0891
GN072,0.0963
GN073,0.0782
GN074,0.1013
GN075,0.0422
GN076,0.1382
GN077,0.0573
GN078,0.1181
GN079,0.0739
GN080,0.0371
GN091,0.1283
GN094,0.0622
GN095,0.1022
GN096,0.0556
GN098,0.1146
KHC0001,0.0022
KHC0002,-0.0007
KHC0003,0.1536
KHC0004,0.0041
KHC0005,0.0073
KHC0006,0.048
KHC0007,0.0011
KHC0008,0.0415
KHC0009,0.006
KHC0010,0
KHC0011,0.0003
KHC0012,0.0005
KHC0013,0.0006
KHC0014,0.0099
KHC0015,0.0097
KHC0016,0.0098
KHC0017,0.1489
KHC0018,0.01
KHC0019,0.0082
KHC0020,0.0039
KHC0021,0.0068
KHC0022,0.0604
KHC0023,0.0533
KHC0024,0.0032
KHC0025,0.002
KHC0026,0.0484
KHC0028,0.0506
KHC0029,0.0301
KHC0031,0.0399
KHC0032,0.0372
KHC0033,0.0368
KHC0034,0.02
KHC0035,0.0115
KHC0037,0.0362
KHC0038,0.0629
KHC0039,0.0154
KHC0040,0.0198
KHC0041,0.0593
KHC0042,0.048
KHC0043,0.0522
KHC0044,0.0339
KHC0045,0.0471
KHC0046,0.0433
KHC0047,0.037
KHC0048,-0.003
KHC0049,0.0435
KHC0051,0.0941
KHC0052,0.0216
KHC0053,0.0209
KHC0054,0.0507
KHC0055,0.0526
KHC0056,0.0112
KHC0057,0.0581
KHC0058,0.0572
KHC0059,0.0551
KHC0060,0.042
KHC0061,0.0119
KHC0062,0.0128
KHC0063,0.0749
KHC0064,0.1394
KHC0065,0.043
KHC0066,0.0314
KHC0067,0.0488
KHC0068,0.0648
KHC0069,0.1068
KHC0070,0.1134
KHC0071,0.0398
KHC0072,0.0685
KHC0073,0.0549
KHC0074,0.1254
KHC0075,0.0421
KHC0076,0.0415
KHC0077,0.0444
KHC0078,0.1149
KHC0079,0.0447
KHC0080,0.0624
KHC0081,0.0418
KHC0082,0.0459
KHC0083,0.0401
KHC0084,0.0402
KHC0085,0.0323
KHC0086,0.0247
KHC0087,0.0322
KHC0088,0.0371
KHC0089,0.0634
KHC0090,0.0198
KHC0091,0.0811
KHC0092,0.0462
KHC0093,0.0452
KHC0094,0.0464
KHC0095,0.0001
KHC0096,0.0821
KHC0097,0.0644
KHC0098,0.0546
KHC0099,0.0325
KHC0100,0.073
KHC0101,0.0542
KHC0102,0.0654
KHC0103,0.0423
KHC0104,0.0429
KHC0105,0.0928
KHC0106,0.0691
KHC0107,0.1331
KHC0108,0.0265
KHC0109,0.0402
KHC0110,0.0337
KHC0121,0.0903
KHC0122,0.094
KHC0123,0.065
KHC0124,0.0704
KHC0125,0.0811
KHC0126,0.0483
KHC0127,0.0616
KHC0128,0.0841
KHC0129,0.0359
KHC0130,0.0689
KHC0131,0.0567
KHC0132,0.0435
KHC0133,
KHC0134,0.0507
KHC0135,0.0421
KHC0136,0.0572
KHC0137,0.0725
KHC0138,0.0604
KHC0139,0.0523
KHC0140,0.0655
KHC0151,0.0777
KHC0152,0.0338
KHC0153,0.0688
KHC0154,0.0483
KHC0155,0.0766
KHC0156,0.062
KHC0157,0.049
KHC0158,0.1094
KHC0159,0.0433
KHC0160,0.074
KHC0161,0.0858
KHC0162,0.0599
KHC0163,
KHC0164,0.0516
KHC0165,0.1453
KHC0166,0.0541
KHC0167,0.0347
KHC0168,
KHC0169,0.0307
KHC0170,0.0926
KHC0171,0.055
KHC0172,0.0344
KHC0173,0.044
KHC0174,0.0478
KHC0175,0.0756
KHC0176,0.0341
KHC0177,0.0299
KHC0178,0.0174
KHC0179,0.0724
KHC0180,0.1064
KHC0181,0.0936
KHC0183,0.033
KHC0184,0.0572
KHC0185,0.0049
KHC0186,0.0514
KHC0187,0.0686
KHC0188,0.0505
KHC0189,0.0806
KHC0190,0.0427
KHC0191,0.036
KHC0192,0.0897
KHC0193,0.069
KHC0194,0.0722
KHC0195,0.095
KHC0196,0.0267
KHC0197,0.0557
KHC0198,0.0432
KHC0200,0.1713
KHC0201,0.0539
KHC0202,0.0829
KHC0203,
KHC0204,0.0322
KHC0205,0.0842
KHC0206,0.109
KHC0207,0.0444
KHC0208,0.0312
KHC0209,0.0908
KHC0210,0.0945
KHC0211,0.0968
KHC0212,0.1176
KHC0213,0.0489
KHC0214,0.0465
KHC0215,0.031
KHC0216,0.0562
KHC0217,0.1039
KHC0218,0.0169
KHC0219,0.0614
KHC0220,0.103
KHC0221,0.0311
KHC0222,0.0738
KHC0223,0.0614
KHC0224,0.087
KHC0225,0.0613
KHC0226,0.0751
KHC0227,0.0325
KHC0228,0.0403
KHC0229,0.069
KHC0230,0.0419
KHC0231,0.0401
KHC0232,0.0603
KHC0233,0.0612
KHC0234,0.0502
KHC0235,0.0796
KHC0236,0.0477
KHC0237,0.0484
KHC0238,0.0407
KHC0239,0.053
KHC0240,0.0817
KHC0241,0.0366
KHC0242,0.1209
KHC0243,0.0795
KHC0244,0.1213
KHC0245,0.0775
KHC0246,0.1369
KHC0247,0.0818
KHC0248,0.1214
KHC0249,0.0837
KHC0250,0.1342
KHC0251,0.0902
KHC0252,0.0216
KHC0253,0.1
KHC0254,0.0795
KHC0255,0.059
KHC0256,0.1342
KHC0257,0.1136
KHC0258,0.0796
KHC0259,0.0696
KHC0260,0.1123
KHC0261,0.1467
KHC0262,0.2086
KHC0263,0.2012
KHC0264,0.157
KHC0265,0.0843
KHC0266,0.1382
KHC0267,0.174
KHC0268,0.1826
KHC0269,0.1146
KHC0270,0.1676
KHC0271,0.1167
KHC0272,0.1406
KHC0273,0.0954
KHC0274,0.1592
KHC0275,
KHC0276,
KHC0277,0.0894
KHC0278,0.0966
KHC0279,0.0952
KHC0280,0.148
KHC0281,0.1524
KHC0282,0.1138
KHC0283,0.1585
KHC0284,0.0536
KHC0285,0.009
KHC0286,0.0856
KHC0287,0.183
KHC0288,0.0739
KHC0289,0.0848
KHC0290,0.0689
KHC0291,0.2118
KHC0292,0.1788
KHC0293,0.1472
KHC0294,0.1538
KHC0295,0.0696
KHC0296,0.1132
KHC0297,0.1911
KHC0298,0.0888
KHC0299,0.2074
KHC0300,0.1026
KHC0301,0.0021
KHC0302,0.0821
KHC0303,0.0757
KHC0304,0.2283
KHC0305,0.2869
KHC0306,0.4974
KHC0307,0.667
KHC0308,0.3362
