MicroPEMID,Ratio,Rsquare
UGF320401N,1.84717,0.967
UGF320403N,1.53961,0.978
UGF320404N,1.61161,0.9709
UGF320406N,1.61232,0.9735
UGF320408N,1.44964,0.953
UGF320409N,1.6807,0.9578
UGF320411N,2.0257,0.9647
UGF320412N,1.63558,0.9703
UGF320414N,1.6016,0.9555
UGF320415N,1.42217,0.9747
UGF320417N,1.45735,0.9357
UGF320419N,1.58635,0.9727
UGF320421N,1.49454,0.9726
UGF320422N,1.65817,0.9713
UGF320423N,1.70021,0.9491
UGF320424N,1.68247,0.9613
UGF320425N,1.63076,0.9237
UGF320426N,1.70289,0.9674
UGF320427N,1.70501,0.9674
UGF320428N,1.60476,0.9595
UGF320429N,1.29915,0.9559
UGF320430N,1.59749,0.9445
UGF320432N,1.34494,0.978
UGF320434N,1.58152,0.9658
UGF320435N,1.73621,0.9686
UGF320436N,1.6486,0.9329
UGF320441N,1.66822,0.968
UGF320442N,1.87816,0.9715
UGF320443N,1.55882,0.963
UGF320444N,1.61292,0.9662
UGF320446N,1.1196,0.9721
UGF320447N,1.7136,0.9566
UGF320448N,1.5413,0.9443
UGF320454N,1.5214,0.9713
UGF320463N,1.50854,0.9643
UGF320486N,1.50353,0.9622
UGF320537N,1.46722,0.9737
UGF320543N,1.78645,0.9603
UGF320589N,1.664,0.9702
UGF320599N,1.45548,0.9456
UGF320602N,1.5355,0.9794
