filterID,Validity,Note
GN011,4,no HEPA
GN012,1,
GN013,1,
GN014,1,
GN015,1,
GN016,1,
GN017,4,step baseline
GN018,4,no HEPA
GN019,4,no HEPA
GN020,1,
GN021,1,
GN022,1,
GN023,1,
GN024,1,
GN025,1,
GN026,1,
GN027,1,
GN028,1,
GN029,1,
GN030,1,
GN031,1,
GN032,1,
GN033,1,
GN034,1,
GN035,1,
GN036,1,
GN037,1,
GN038,1,
GN039,1,
GN040,4,negative readings
GN041,4,long period of zero reading
GN042,1,
GN043,1,
GN044,1,
GN045,1,
GN046,1,
GN047,1,
GN048,1,
GN049,1,
GN050,1,
GN051,1,
GN052,1,
GN053,4,large HEPA difference
GN054,1,
GN055,1,
GN056,1,
GN057,1,
GN058,1,
GN059,1,
GN060,1,
GN061,1,
GN062,1,
GN063,1,
GN064,1,
GN065,4,negative readings
GN066,1,
GN067,1,
GN068,1,
GN069,1,
GN070,1,
GN071,1,
GN072,1,
GN073,1,
GN074,1,
GN076,4,step baseline
GN077,1,
GN078,1,
GN081,1,
GN082,1,
GN083,1,
GN084,4,no HEPA
GN085,1,
GN086,1,
GN087,1,
GN088,1,
GN089,1,
GN090,1,
GN091,1,
GN092,4,no HEPA
GN093,1,
GN094,1,
GN095,1,
GN096,1,
GN097,2,long period of zero reading
GN098,1,
GN099,1,
GN100,1,
GN101,1,
GN102,1,
GN103,1,
GN104,1,
GN105,1,
GN106,1,
GN107,4,no HEPA
GN108,1,
GN109,1,
GN110,1,
KHC0067,2,long period of zero reading
KHC0074,1,
KHC0075,1,
KHC0076,1,
KHC0077,1,
KHC0078,1,
KHC0079,1,
KHC0080,1,
KHC0090,1,
KHC0091,1,
KHC0092,1,
KHC0093,1,
KHC0094,2,long period of zero reading
KHC0095,4,no HEPA
KHC0096,1,
KHC0097,1,
KHC0098,1,
KHC0099,1,
KHC0100,1,
KHC0101,1,
KHC0102,1,
KHC0103,1,
KHC0104,1,
KHC0105,1,
KHC0106,1,
KHC0107,1,
KHC0108,2,large HEPA difference
KHC0109,2,long period of zero reading
KHC0110,1,
KHC0121,1,
KHC0122,1,
KHC0123,1,
KHC0124,1,
KHC0125,1,
KHC0126,1,
KHC0127,1,
KHC0128,1,
KHC0129,1,
KHC0130,1,
KHC0131,1,
KHC0132,1,
KHC0133,1,
KHC0134,1,
KHC0135,1,
KHC0136,1,
KHC0137,1,
KHC0138,4,large HEPA difference
KHC0139,1,
KHC0140,1,
KHC0151,1,
KHC0152,1,
KHC0153,1,
KHC0154,1,
KHC0155,1,
KHC0156,1,
KHC0157,1,
KHC0158,1,
KHC0159,1,
KHC0161,4,large HEPA difference
KHC0162,1,
KHC0163,1,
KHC0164,1,
KHC0165,1,
KHC0166,1,
KHC0167,1,
KHC0168,1,
KHC0169,1,
KHC0170,1,
KHC0171,1,
KHC0172,1,
KHC0173,1,
KHC0174,1,
KHC0175,1,
KHC0176,1,
KHC0177,1,
KHC0178,4,step baseline
KHC0179,1,
KHC0180,1,
KHC0181,1,
KHC0183,2,long period of zero reading
KHC0184,1,
KHC0186,1,
KHC0187,2,some negative readings
KHC0188,1,
KHC0189,1,
KHC0190,1,
KHC0191,2,long period of zero reading
KHC0192,1,
KHC0193,1,
KHC0194,1,
KHC0195,4,step baseline
KHC0196,1,
KHC0197,1,
KHC0198,1,
KHC0200,2,elevated baseline
KHC0201,1,
KHC0202,1,
KHC0203,1,
KHC0204,1,
KHC0205,1,
KHC0206,1,
KHC0207,1,
KHC0208,1,
KHC0209,2,long period of zero reading
KHC0210,1,
KHC0211,1,
KHC0212,1,
KHC0213,1,
KHC0214,2,some negative readings
KHC0215,1,
KHC0216,1,
KHC0217,1,
KHC0218,1,
KHC0219,1,
KHC0220,1,
KHC0221,1,
KHC0222,1,
KHC0223,1,
KHC0224,1,
KHC0225,1,
KHC0226,1,
KHC0227,1,
KHC0228,1,
KHC0229,1,
KHC0230,1,
KHC0231,2,large HEPA difference
KHC0232,1,
KHC0233,2,large HEPA difference
KHC0235,2,long period of zero reading
KHC0236,1,
KHC0237,1,
KHC0238,1,
KHC0239,1,
KHC0240,1,
KHC0241,1,
KHC0242,2,elevated baseline
KHC0243,2,elevated baseline
KHC0244,2,elevated baseline
KHC0245,4,step baseline
KHC0246,2,elevated baseline
KHC0247,2,elevated baseline
KHC0248,2,elevated baseline
KHC0249,1,
KHC0250,2,large HEPA difference
KHC0251,1,
KHC0252,1,
KHC0253,1,
KHC0254,1,
KHC0255,1,
KHC0256,1,
KHC0257,4,negative readings
KHC0258,1,
KHC0259,1,
KHC0260,1,
KHC0261,2,elevated baseline
KHC0262,2,elevated baseline
KHC0263,2,elevated baseline
KHC0264,2,elevated baseline
KHC0265,2,elevated baseline
KHC0266,2,elevated baseline
KHC0267,2,elevated baseline
KHC0268,2,elevated baseline
KHC0269,2,elevated baseline
KHC0270,2,elevated baseline
KHC0271,2,elevated baseline
KHC0272,2,elevated baseline
KHC0273,2,elevated baseline
KHC0274,2,elevated baseline
KHC0275,1,
KHC0276,1,
KHC0277,2,elevated baseline
KHC0278,2,elevated baseline
KHC0279,2,elevated baseline
KHC0280,2,elevated baseline
KHC0281,2,elevated baseline
KHC0282,2,elevated baseline
KHC0283,2,elevated baseline
KHC0286,2,elevated baseline
KHC0287,2,elevated baseline
KHC0289,2,elevated baseline
KHC0290,2,elevated baseline
KHC0291,2,elevated baseline
KHC0292,2,elevated baseline
KHC0293,2,elevated baseline
KHC0294,2,elevated baseline
KHC0295,1,
KHC0296,2,elevated baseline
KHC0297,2,elevated baseline
KHC0298,1,
KHC0299,2,elevated baseline
KHC0300,2,elevated baseline
KHC0302,1,
KHC0303,1,
KHC0304,2,elevated baseline
KHC0305,1,
KHC0306,1,
KHC0307,1,
KHC0308,1,
KHC0310,1,
KHC0311,1,
KHC0312,1,
KHC0313,1,
KHC0315,1,
KHC0316,1,
KHC0317,1,
KHC0318,1,
KHC0319,1,
KHC0320,1,
KHC0321,2,large HEPA difference
KHC0322,1,
KHC0323,1,
KHC0324,1,
KHC0325,1,
KHC0326,2,elevated baseline
KHC0327,2,elevated baseline
KHC0329,2,elevated baseline
KHC0330,2,elevated baseline
KHC0331,1,
KHC0332,1,
KHC0333,1,
KHC0334,1,
KHC0336,1,
KHC0337,2,elevated baseline
KHC0338,1,
KHC0339,1,
KHC0340,1,
KHC0351,1,
KHC0352,2,elevated baseline
KHC0353,2,elevated baseline
KHC0354,2,elevated baseline
KHC0355,2,elevated baseline
KHC0356,2,elevated baseline
KHC0357,1,
KHC0358,2,elevated baseline
KHC0360,2,elevated baseline
KHC0361,2,elevated baseline
KHC0362,2,elevated baseline
KHC0363,2,elevated baseline
KHC0364,2,elevated baseline
KHC0365,2,elevated baseline
KHC0366,1,
KHC0367,1,
KHC0368,1,
KHC0369,1,
KHC0370,1,
