File Name:,C:\Users\emollinedo\Box Sync\Guatemala Exposure Data\Scoping phase\ECM\G1_ECM00061_017_16062017_raw.CSV,,,,,,,,,,,,,,,,,,,
Download Date:,6/16/17,,,,,,,,,,,,,,,,,,,
Total Download Time (s):,1.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Device Serial #:,ECM00061,,,,,,,,,,,,,,,,,,,
Date/Time Hardware:,1/2/14,,,,,,,,,,,,,,,,,,,
Date/Time Software:,27/01/2017,v2.0.6236.20371,,,,,,,,,,,,,,,,,,
Participant ID#:,,,,,,,,,,,,,,,,,,,,
Filter ID#:,1101102,,,,,,,,,,,,,,,,,,,
Participant Weight (kg),NA,,,,,,,,,,,,,,,,,,,
Inlet Aerosol Size:,PM2.5,,,,,,,,,,,,,,,,,,,
Laser Cycling Variables:Delay - Sampling time - Off time,1,3,6,,,,,,,,,,,,,,,,,
System Times,No cycling - Always On,,,,,,,,,,,,,,,,,,,
Sensor,Slope,Offset,Log Interval,High Target (ref only),Low target (ref only),,,,,,,,,,,,,,,
Nephelometer,3,6,10,,,,,,,,,,,,,,,,,
Temperature,1,1,30,,,,,,,,,,,,,,,,,
Humidity,1,0,10,,,,,,,,,,,,,,,,,
Inlet Pressure,4095,0,30,1280,768,,,,,,,,,,,,,,,
Orifice Pressure,4095,0,30,9753,9311,,,,,,,,,,,,,,,
Flow,,,30,0,0,0.3,,,,,,,,,,,,,,
Accelerometer,,,5,,,,,,,,,,,,,,,,,
Battery,,,60,,,,,,,,,,,,,,,,,
Ventilation,NA,NA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Time,RH-Corrected Nephelometer,RH-Corrected Nephelometer HR,Temp,RH,Battery,Inlet Press,Orifice Press,Flow,X-axis,Y-axis,Z-axis,Vector Sum Composite,ShutDownReason,Wearing Compliance,ValidityWearingCompliance validation,,,,
Date,Time,ë_g/må_,ë_g/må_,C,%,V,in H2O,in H2O,Lpm,g-unit,g-unit,g-unit,g-unit,,0=valid, 1=questionable, 2=invalid,0=valid, 1=questionable, 2=invalid
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
15/06/2017,7:54:45,,,22.7,,,0.42,0.34,0.29,0.91,-0.36,0.23,1,,,,,,,
15/06/2017,7:54:50,,,,,,,,,1,0.04,0.27,1.03,,,,,,,
15/06/2017,7:54:55,,,,,,,,,1,0.07,0.22,1.03,,,,,,,
15/06/2017,8:36:00,,,,,4.14,,,,1,0.06,0.29,1.04,,,,,,,
15/06/2017,8:36:05,,,,,,,,,1,0.09,0.25,1.03,,,,,,,
15/06/2017,8:36:10,29.256,,22.7,74.3,4.14,0.41,0.32,0.3,1,0.06,0.22,1.03,,,,,,,
15/06/2017,8:36:15,,,,,,,,,1,0.07,0.23,1.03,,,,,,,
15/06/2017,8:36:20,29.256,,,74.3,,,,,1.01,0.01,0.14,1.02,,,,,,,
15/06/2017,8:36:25,,,,,,,,,1.01,0,0.11,1.01,,,,,,,
15/06/2017,8:36:30,5.851,,,74.3,,,,,1,0.02,0.16,1.02,,,,,,,
15/06/2017,8:36:35,,,,,,,,,0.9,0.3,-0.46,1.05,,,,,,,
15/06/2017,8:36:40,20.264,,22.7,72.6,,0.41,0.33,0.3,0.99,0.12,-0.05,1,,,,,,,
15/06/2017,8:36:45,,,,,,,,,1,0.17,0.11,1.02,,,,,,,
15/06/2017,8:36:50,10.132,,,72.6,,,,,0.99,0.14,0.23,1.03,,,,,,,
15/06/2017,8:36:55,,,,,,,,,1,0.16,0.21,1.03,,,,,,,
15/06/2017,8:37:00,8.106,,,72.6,,,,,1,0.18,0.23,1.04,,,,,,,
15/06/2017,8:37:05,,,,,,,,,0.99,0.13,0.27,1.03,,,,,,,
15/06/2017,8:37:10,4.134,,22.8,71.6,4.14,0.4,0.31,0.31,0.98,0.22,0.25,1.03,,,,,,,
15/06/2017,8:37:15,,,,,,,,,0.97,0.21,0.2,1.01,,,,,,,
15/06/2017,8:37:20,31.002,,,71.6,,,,,0.98,0.29,0.17,1.03,,,,,,,
15/06/2017,8:37:25,,,,,,,,,0.91,0.23,0.21,0.96,,,,,,,
15/06/2017,8:37:30,4.134,,,71.6,,,,,1.12,0.04,0.12,1.13,,,,,,,
15/06/2017,8:37:35,,,,,,,,,0.91,-0.18,0.18,0.94,,,,,,,
15/06/2017,8:37:40,4.141,,22.8,71.5,,0.4,0.32,0.31,0.91,0.29,0.09,0.96,,,,,,,
15/06/2017,8:37:45,,,,,,,,,0.77,0.49,0.1,0.92,,,,,,,
15/06/2017,8:37:50,2.07,,,71.5,,,,,0.99,0.24,0.18,1.03,,,,,,,
15/06/2017,8:37:55,,,,,,,,,1.04,0.12,0.04,1.05,,,,,,,
15/06/2017,8:38:00,4.141,,,71.5,,,,,0.95,0.13,0.13,0.96,,,,,,,
15/06/2017,8:38:05,,,,,,,,,1.03,-0.09,-0.14,1.04,,,,,,,
15/06/2017,8:38:10,2.049,,22.9,72,4.14,0.39,0.32,0.31,0.71,0.23,0.1,0.75,,,,,,,
15/06/2017,8:38:15,,,,,,,,,1.02,0.07,0.14,1.04,,,,,,,
15/06/2017,8:38:20,2.049,,,72,,,,,1,-0.19,0.04,1.02,,,,,,,
15/06/2017,8:38:25,,,,,,,,,0.88,0.31,0.14,0.94,,,,,,,
15/06/2017,8:38:30,2.049,,,72,,,,,0.93,0.28,0.04,0.97,,,,,,,
15/06/2017,8:38:35,,,,,,,,,0.83,0.16,-0.19,0.87,,,,,,,
15/06/2017,8:38:40,2.209,,22.9,67.8,,0.4,0.32,0.3,1,0.07,0.13,1.01,,,,,,,
15/06/2017,8:38:45,,,,,,,,,0.97,0,0.14,0.98,,,,,,,
15/06/2017,8:38:50,2.209,,,67.8,,,,,0.85,0.47,0.15,0.98,,,,,,,
15/06/2017,8:38:55,,,,,,,,,1,0.16,0.12,1.02,,,,,,,
15/06/2017,8:39:00,2.209,,,67.8,,,,,1.01,0.22,0.18,1.05,,,,,,,
15/06/2017,8:39:05,,,,,,,,,1,0.19,0.08,1.02,,,,,,,
15/06/2017,8:39:10,2.159,,23,69.2,4.1,0.4,0.32,0.3,1,0.19,0.1,1.02,,,,,,,
15/06/2017,8:39:15,,,,,,,,,1,0.17,0.1,1.02,,,,,,,
15/06/2017,8:39:20,2.159,,,69.2,,,,,1,0.16,0.1,1.02,,,,,,,
15/06/2017,8:39:25,,,,,,,,,0.99,0.11,0.1,1,,,,,,,
15/06/2017,8:39:30,2.159,,,69.2,,,,,1,0.12,0.12,1.02,,,,,,,
15/06/2017,8:39:35,,,,,,,,,1,0.12,0.13,1.02,,,,,,,
15/06/2017,8:39:40,2.115,,23,70.4,,0.4,0.33,0.3,1,0.14,0.13,1.02,,,,,,,
15/06/2017,8:39:45,,,,,,,,,1,0.16,0.09,1.02,,,,,,,
15/06/2017,8:39:50,2.115,,,70.4,,,,,1,0.16,0.1,1.02,,,,,,,
15/06/2017,8:39:55,,,,,,,,,1,0.16,0.06,1.02,,,,,,,
15/06/2017,8:40:00,2.115,,,70.4,,,,,1.01,0.15,0.03,1.02,,,,,,,
15/06/2017,8:40:05,,,,,,,,,1.01,0.13,-0.01,1.02,,,,,,,
15/06/2017,8:40:10,4.414,,23.1,67.9,4.14,0.4,0.32,0.3,1.01,0.13,0.05,1.02,,,,,,,
15/06/2017,8:40:15,,,,,,,,,1,0.15,0.07,1.02,,,,,,,
15/06/2017,8:40:20,2.207,,,67.9,,,,,1,0.18,0.15,1.03,,,,,,,
15/06/2017,8:40:25,,,,,,,,,1,0.15,0.12,1.02,,,,,,,
15/06/2017,8:40:30,2.207,,,67.9,,,,,1,0.15,0.12,1.02,,,,,,,
15/06/2017,8:40:35,,,,,,,,,1,0.16,0.09,1.02,,,,,,,
15/06/2017,8:40:40,2.23,,23.1,67.2,,0.4,0.32,0.3,1,0.2,0.15,1.03,,,,,,,
15/06/2017,8:40:45,,,,,,,,,0.98,0.22,0.22,1.03,,,,,,,
15/06/2017,8:40:50,2.23,,,67.2,,,,,0.91,0.11,0.38,0.99,,,,,,,
15/06/2017,8:40:55,,,,,,,,,0.99,0.13,0.33,1.05,,,,,,,
15/06/2017,8:41:00,6.691,,,67.2,,,,,1,0.12,0.25,1.04,,,,,,,
15/06/2017,8:41:05,,,,,,,,,1.01,0.2,0.25,1.06,,,,,,,
15/06/2017,8:41:10,2.192,,23.2,68.3,4.14,0.41,0.33,0.3,0.87,0.22,0,0.9,,,,,,,
15/06/2017,8:41:15,,,,,,,,,0.99,0.17,0.08,1,,,,,,,
15/06/2017,8:41:20,2.192,,,68.3,,,,,0.9,0.2,0.09,0.93,,,,,,,
15/06/2017,8:41:25,,,,,,,,,1.11,0.15,0.18,1.14,,,,,,,
15/06/2017,8:41:30,2.192,,,68.3,,,,,0.99,0.2,0.04,1.01,,,,,,,
15/06/2017,8:41:35,,,,,,,,,0.9,0.24,0.16,0.94,,,,,,,
15/06/2017,8:41:40,4.316,,23.3,69.3,,0.4,0.31,0.31,0.93,0.21,-0.08,0.95,,,,,,,
15/06/2017,8:41:45,,,,,,,,,1.04,0.18,0.08,1.06,,,,,,,
15/06/2017,8:41:50,2.158,,,69.3,,,,,0.99,0.09,0.13,1,,,,,,,
15/06/2017,8:41:55,,,,,,,,,0.83,0.23,0.07,0.86,,,,,,,
15/06/2017,8:42:00,6.474,,,69.3,,,,,1,0.06,0.09,1.01,,,,,,,
15/06/2017,8:42:05,,,,,,,,,1.02,0.11,-0.01,1.03,,,,,,,
15/06/2017,8:42:10,4.357,,23.3,68.7,4.14,0.4,0.31,0.31,1,0.19,0.1,1.02,,,,,,,
15/06/2017,8:42:15,,,,,,,,,1,0.2,0.04,1.02,,,,,,,
15/06/2017,8:42:20,4.357,,,68.7,,,,,1,0.21,0.11,1.03,,,,,,,
15/06/2017,8:42:25,,,,,,,,,0.99,0.21,0,1.01,,,,,,,
15/06/2017,8:42:30,2.179,,,68.7,,,,,0.98,0.23,0.09,1.01,,,,,,,
15/06/2017,8:42:35,,,,,,,,,0.99,0.08,0.1,0.99,,,,,,,
15/06/2017,8:42:40,4.402,,23.4,68.1,,0.41,0.31,0.31,1.04,0.14,0.06,1.05,,,,,,,
15/06/2017,8:42:45,,,,,,,,,0.99,0.18,0.16,1.02,,,,,,,
15/06/2017,8:42:50,2.201,,,68.1,,,,,1.02,0.15,0.11,1.04,,,,,,,
15/06/2017,8:42:55,,,,,,,,,1.01,0.15,0.15,1.03,,,,,,,
15/06/2017,8:43:00,4.402,,,68.1,,,,,0.98,0.16,0.11,1,,,,,,,
15/06/2017,8:43:05,,,,,,,,,1.02,0.2,0.01,1.04,,,,,,,
15/06/2017,8:43:10,8.975,,23.4,66.8,4.14,0.39,0.32,0.31,0.93,0.13,0.01,0.94,,,,,,,
15/06/2017,8:43:15,,,,,,,,,1,0.25,0.28,1.07,,,,,,,
15/06/2017,8:43:20,2.244,,,66.8,,,,,0.99,0.15,0.01,1,,,,,,,
15/06/2017,8:43:25,,,,,,,,,1,0.12,0.15,1.02,,,,,,,
15/06/2017,8:43:30,2.244,,,66.8,,,,,1.02,0.2,0.09,1.05,,,,,,,
15/06/2017,8:43:35,,,,,,,,,0.98,0,0.21,1,,,,,,,
15/06/2017,8:43:40,20.346,,23.4,66.3,,0.4,0.33,0.3,1.01,0.14,0.17,1.03,,,,,,,
15/06/2017,8:43:45,,,,,,,,,1.01,0.2,0.1,1.04,,,,,,,
15/06/2017,8:43:50,4.521,,,66.3,,,,,1.11,0.07,0.17,1.13,,,,,,,
15/06/2017,8:43:55,,,,,,,,,1.01,0.22,0.16,1.05,,,,,,,
15/06/2017,8:44:00,4.521,,,66.3,,,,,0.98,0.11,0.13,0.99,,,,,,,
15/06/2017,8:44:05,,,,,,,,,1,0.18,0.14,1.02,,,,,,,
15/06/2017,8:44:10,2.254,,23.5,66.6,4.14,0.4,0.32,0.3,0.86,0.1,0.1,0.87,,,,,,,
