"Subject","Session","unique_hour","RH.Corrected.Nephelometer(ug/m^3)","HEPA.Correction(ug/m^3)","HEPA.Corrected.Nephelometer(ug/m^3)","Temp(C)","RH(%)","Battery(V)","Inlet.Press(H20)","Flow.Orifice.Press(H20)","Flow(Lpm)","count_composite_above_threshold(mins)","percent_composite_above_threshold","x_above_threshold(mins)","x_percent_above_threshold","y_above_threshold(mins)","y_percent_above_threshold","z_above_threshold(mins)","z_percent_above_threshold","total_minutes_observation","proportion_compliance_rollmean","datetime","unique_24h","cumulative_dep(ug)","delta_pressure(H20)"
"StudyID","SSession","2017-06-15 08:00:00",8.525,NA,NA,23.836,65.22,4.128,0.401,0.322,0.303,18,0.857,19,0.905,21,1,21,1,21,0.35,2017-06-15 08:39:00,1,0.027,0.003
"StudyID","SSession","2017-06-15 09:00:00",7.715,NA,NA,25.579,50.336,4.113,0.401,0.321,0.304,54,0.9,56,0.933,60,1,59,0.983,60,1,2017-06-15 09:00:00,1,0.125,0.002
"StudyID","SSession","2017-06-15 10:00:00",14.352,NA,NA,28.812,45.649,4.086,0.404,0.321,0.303,38,0.633,44,0.733,56,0.933,58,0.967,60,0.967,2017-06-15 10:00:00,1,0.3,0.009
"StudyID","SSession","2017-06-15 11:00:00",13.04,NA,NA,27.211,50.284,4.069,0.407,0.32,0.304,34,0.567,36,0.6,59,0.983,58,0.967,60,1,2017-06-15 11:00:00,1,0.6,0.014
"StudyID","SSession","2017-06-15 12:00:00",19.204,NA,NA,27.512,47.55,4.053,0.409,0.323,0.301,28,0.467,30,0.5,56,0.933,58,0.967,60,1,2017-06-15 12:00:00,1,0.933,0.019
"StudyID","SSession","2017-06-15 13:00:00",27.422,NA,NA,25.974,50.181,4.041,0.411,0.321,0.303,32,0.533,33,0.55,58,0.967,59,0.983,60,1,2017-06-15 13:00:00,1,1.309,0.022
"StudyID","SSession","2017-06-15 14:00:00",147.065,NA,NA,21.268,60.71,4.031,0.419,0.32,0.303,11,0.183,13,0.217,24,0.4,24,0.4,60,0.467,2017-06-15 14:00:00,1,2.589,0.039
"StudyID","SSession","2017-06-15 15:00:00",133.998,NA,NA,18.564,66.514,4.019,0.445,0.323,0.303,0,0,0,0,0,0,0,0,60,0,2017-06-15 15:00:00,1,5.112,0.09
"StudyID","SSession","2017-06-15 16:00:00",949.561,NA,NA,17.64,70.966,4.009,0.482,0.322,0.303,0,0,0,0,0,0,0,0,60,0,2017-06-15 16:00:00,1,18.064,0.165
"StudyID","SSession","2017-06-15 17:00:00",436.824,NA,NA,17.165,73.297,3.995,0.502,0.323,0.302,0,0,0,0,0,0,0,0,60,0,2017-06-15 17:00:00,1,28.72,0.203
"StudyID","SSession","2017-06-15 18:00:00",63.4,NA,NA,17.117,74.282,3.978,0.508,0.322,0.302,0,0,0,0,0,0,0,0,60,0,2017-06-15 18:00:00,1,32.441,0.215
