"Subject","Session","unique_min","RH.Corrected.Nephelometer(ug/m^3)","HEPA Correction(ug/m^3)","HEPA-Corrected Nephelometer(ug/m^3)","Temp(C)","RH(%)","Battery(V)","Inlet.Press(H20)","Flow.Orifice.Press(H20)","Flow(Lpm)","X.axis.mean(g_unit)","Y.axis.mean(g_unit)","Z.axis.mean(g_unit)","Vector.Sum.Composite_mean(g_unit)","X.axis.SD(g_unit)","Y.axis.SD(g_unit)","Z.axis.SD(g_unit)","Vector.Sum.Composite_SD(g_unit)","unique_hour","sd_composite_above_threshold","sd_x_above_threshold","sd_y_above_threshold","sd_z_above_threshold","sd_composite_rollmean","compliance_rollmean","unique_24h","cumulative_dep(ug)","delta_pressure(H20)"
"StudyID","SSession",2017-06-15 08:39:00,2.153,NA,NA,23,69.367,4.1,0.4,0.325,0.3,1,0.1583,0.1075,1.0208,0.004,0.032,0.03,0.011,"2017-06-15 08:00:00",0,0,1,1,0.5,1,1,0.0006459,0
"StudyID","SSession",2017-06-15 08:40:00,2.567,NA,NA,23.1,68.083,4.14,0.4,0.32,0.3,0.9925,0.155,0.1417,1.0225,0.027,0.031,0.117,0.014,"2017-06-15 08:00:00",0,1,1,1,0.6,1,1,0.001416,0
"StudyID","SSession",2017-06-15 08:41:00,3.29,NA,NA,23.25,68.45,4.14,0.405,0.32,0.305,0.9633,0.1842,0.1042,0.9908,0.079,0.045,0.097,0.079,"2017-06-15 08:00:00",1,1,1,1,0.7,1,1,0.00241945,0.01
"StudyID","SSession",2017-06-15 08:42:00,3.995,NA,NA,23.35,68.6,4.14,0.405,0.31,0.31,1.0033,0.1592,0.0833,1.0217,0.017,0.054,0.053,0.016,"2017-06-15 08:00:00",0,0,1,1,0.7,1,1,0.0036579,0.01
"StudyID","SSession",2017-06-15 08:43:00,7.122,NA,NA,23.4,66.85,4.14,0.395,0.325,0.305,1.005,0.1533,0.1225,1.0308,0.041,0.069,0.085,0.046,"2017-06-15 08:00:00",1,1,1,1,0.7,1,1,0.00583011,-0.01
"StudyID","SSession",2017-06-15 08:44:00,4.145,NA,NA,23.5,66.417,4.14,0.395,0.325,0.3,0.9808,0.0942,0.055,1.0092,0.051,0.204,0.096,0.062,"2017-06-15 08:00:00",1,1,1,1,0.8,1,1,0.00707361,-0.01
"StudyID","SSession",2017-06-15 08:45:00,2.26,NA,NA,23.6,66.367,4.1,0.4,0.32,0.3,1.0217,0.1367,0.0625,1.0433,0.111,0.153,0.047,0.121,"2017-06-15 08:00:00",1,1,1,1,0.9,1,1,0.00775161,0
"StudyID","SSession",2017-06-15 08:46:00,3.866,NA,NA,23.65,64.567,4.14,0.4,0.325,0.3,1.0117,0.2033,0.0342,1.0442,0.131,0.14,0.094,0.133,"2017-06-15 08:00:00",1,1,1,1,0.9,1,1,0.00891141,0
"StudyID","SSession",2017-06-15 08:47:00,17.338,NA,NA,23.7,66.233,4.14,0.405,0.33,0.3,0.9825,0.1675,0.0375,1.0083,0.025,0.094,0.123,0.022,"2017-06-15 08:00:00",1,1,1,1,1,1,1,0.01411281,0.01
"StudyID","SSession",2017-06-15 08:48:00,6.785,NA,NA,23.7,69.533,4.08,0.4,0.325,0.305,1.04,0.2117,0.0817,1.075,0.12,0.052,0.131,0.12,"2017-06-15 08:00:00",1,1,1,1,1,1,1,0.016182235,0
"StudyID","SSession",2017-06-15 08:49:00,51.733,NA,NA,23.8,67,4.14,0.41,0.325,0.305,0.9892,0.1942,0.0717,1.0158,0.085,0.037,0.104,0.086,"2017-06-15 08:00:00",1,1,1,1,1,1,1,0.0319608,0.02
"StudyID","SSession",2017-06-15 08:50:00,24.972,NA,NA,23.9,65.917,4.14,0.4,0.325,0.3,0.985,0.2117,0.0233,1.0158,0.048,0.092,0.083,0.04,"2017-06-15 08:00:00",1,1,1,1,1,1,1,0.0394524,0
"StudyID","SSession",2017-06-15 08:51:00,4.968,NA,NA,24,65.3,4.14,0.415,0.315,0.305,0.9875,0.2125,-0.0075,1.0108,0.026,0.03,0.058,0.027,"2017-06-15 08:00:00",1,1,1,1,1,1,1,0.04096764,0.03
"StudyID","SSession",2017-06-15 08:52:00,5.751,NA,NA,24.1,64.95,4.09,0.395,0.32,0.3,0.9808,0.2658,0.0442,1.0225,0.062,0.086,0.078,0.066,"2017-06-15 08:00:00",1,1,1,1,1,1,1,0.04269294,-0.01
"StudyID","SSession",2017-06-15 08:53:00,3.126,NA,NA,24.2,63.867,4.14,0.4,0.32,0.3,0.985,0.1992,0.0342,1.0108,0.074,0.071,0.081,0.076,"2017-06-15 08:00:00",1,1,1,1,1,1,1,0.04363074,0
"StudyID","SSession",2017-06-15 08:54:00,3.928,NA,NA,24.25,63.3,4.14,0.415,0.32,0.305,0.9983,0.1633,0.0992,1.0225,0.053,0.105,0.041,0.044,"2017-06-15 08:00:00",1,1,1,1,1,1,1,0.04482878,0.03
"StudyID","SSession",2017-06-15 08:55:00,9.439,NA,NA,24.3,63.133,4.14,0.4,0.33,0.3,0.9933,0.2317,0.1692,1.0542,0.058,0.223,0.041,0.055,"2017-06-15 08:00:00",1,1,1,1,1,1,1,0.04766048,0
"StudyID","SSession",2017-06-15 08:56:00,3.973,NA,NA,24.4,62.467,4.14,0.395,0.325,0.305,0.9833,0.255,0.1625,1.0408,0.062,0.15,0.051,0.037,"2017-06-15 08:00:00",1,1,1,1,1,1,1,0.048872245,-0.01
"StudyID","SSession",2017-06-15 08:57:00,4.454,NA,NA,24.4,60.767,4.08,0.395,0.32,0.305,0.9642,0.245,0.1492,1.01,0.074,0.097,0.056,0.076,"2017-06-15 08:00:00",1,1,1,1,1,1,1,0.050230715,-0.01
"StudyID","SSession",2017-06-15 08:58:00,6.565,NA,NA,24.45,59.5,4.14,0.395,0.32,0.3,0.9917,0.2067,0.0925,1.0317,0.049,0.131,0.121,0.064,"2017-06-15 08:00:00",1,1,1,1,1,1,1,0.052200215,-0.01
"StudyID","SSession",2017-06-15 08:59:00,6.603,NA,NA,24.5,58.95,4.14,0.405,0.325,0.305,0.985,0.2183,0.03,1.0267,0.038,0.107,0.168,0.031,"2017-06-15 08:00:00",1,1,1,1,1,1,1,0.05421413,0.01
"StudyID","SSession",2017-06-15 09:00:00,7.455,NA,NA,24.5,58.6,4.11,0.4,0.32,0.305,1.0025,0.2058,0.0942,1.0417,0.027,0.157,0.07,0.039,"2017-06-15 09:00:00",1,1,1,1,1,1,1,0.056487905,0
"StudyID","SSession",2017-06-15 09:01:00,6.286,NA,NA,24.6,57.3,4.14,0.405,0.325,0.305,1.0042,0.2017,0.1025,1.0417,0.105,0.04,0.147,0.102,"2017-06-15 09:00:00",1,1,1,1,1,1,1,0.058405135,0.01
"StudyID","SSession",2017-06-15 09:02:00,7.915,NA,NA,24.6,57.983,4.14,0.4,0.32,0.31,0.99,0.1767,0.0567,1.015,0.062,0.104,0.082,0.07,"2017-06-15 09:00:00",1,1,1,1,1,1,1,0.060858785,0
"StudyID","SSession",2017-06-15 09:03:00,4.619,NA,NA,24.65,57.55,4.14,0.405,0.315,0.305,0.99,0.2017,0.0175,1.0225,0.06,0.067,0.139,0.065,"2017-06-15 09:00:00",1,1,1,1,1,1,1,0.06226758,0.01
"StudyID","SSession",2017-06-15 09:04:00,7.965,NA,NA,24.7,57.4,4.1,0.395,0.325,0.305,1.0092,0.1925,0.0558,1.0383,0.051,0.112,0.103,0.053,"2017-06-15 09:00:00",1,1,1,1,1,1,1,0.064696905,-0.01
"StudyID","SSession",2017-06-15 09:05:00,5.472,NA,NA,24.8,56.85,4.09,0.395,0.32,0.3,1.0225,0.21,0.0767,1.06,0.058,0.146,0.072,0.048,"2017-06-15 09:00:00",1,1,1,1,1,1,1,0.066338505,-0.01
"StudyID","SSession",2017-06-15 09:06:00,11.451,NA,NA,24.8,56.017,4.14,0.4,0.315,0.305,0.9792,0.1917,0.0858,1.0133,0.043,0.089,0.142,0.048,"2017-06-15 09:00:00",1,1,1,1,1,1,1,0.06983106,0
"StudyID","SSession",2017-06-15 09:07:00,10.545,NA,NA,24.9,56.933,4.14,0.405,0.33,0.3,1,0.1767,0.1792,1.04,0.049,0.121,0.069,0.042,"2017-06-15 09:00:00",1,1,1,1,1,1,1,0.07299456,0.01
